CodProfesionUOficio,Descripción,"Estado (1-Inactivo, 2- Activo)"
1342,Operador de incinerador tratamiento de aguas,2
1343,Operador de instalaciones de abastecimiento de agua,2
1344,Operador de instalaciones de depuración de agua,2
1345,Operador de instalaciones de estación de bombeo de agua,2
1346,Operador de instalaciones de filtración de agua,2
1347,Operador de instalaciones de incineración de residuos,2
1348,Operador de instalaciones de tratamiento de aguas servidas,2
1349,Operador de máquina de producción de hielo,2
1350,Operador de reactivos químicos / planta tratamiento de agua,2
1351,Operador de válvulas de desagüe / embalses,2
1352,Operador de instalaciones de tratamiento de residuos sólidos ,2
1353,Operador de plantas de tratamiento de residuos sólidos ,2
1354,Supervisor de cuadrilla de acueductos,2
1355,Supervisor en tratamiento de residuos,2
1356,Operador de planta de aguas residuales,2
1357,Operador planta de tratamiento de aguas,2
1358,Operador de planta de purificación de agua,2
1359,Operador de procesamiento de residuos líquidos ,2
1360,Operador de instalaciones de tratamiento térmico / procesos químicos y similares,2
1361,Operador de  tratamiento térmico de sustancias químicas,2
1362,Operador de instalaciones de filtrado sustancias químicas,2
1363,Operador de instalaciones de separación  sustancias químicas,2
1364,Operador de instalaciones de tratamiento del petróleo crudo,2
1365,Operador de instalaciones  de deshidratación/petróleo crudo (campos de extracción),2
1366,Operador de reactor de procesos químicos / excepto petróleo y gas natural,2
1367,Operador de instalaciones de abonos artificiales,2
1368,Operador de instalaciones de blanqueamiento químico,2
1369,Operador de instalaciones de tratamiento de desechos radioactivos,2
1370,Operador de instalaciones de tratamientos químicos (materias radioactivas),2
1371,Operador de instalaciones de filtración  de químicos,2
1372,Operador de instalaciones de  separación de químicos,2
1373,Controladores de plantas de procesamiento de químicos ,2
1374,Operador de instalaciones de desulfuramiento/petróleo y gas natural,2
1375,Operador de  estación de bombeo/refinación (petróleo y gas natural),2
1376,Operador de máquina de bombeo/petróleo y gas natural,2
1377,Operador de destilería  de  refinación/ gas natural,2
1378,Operador  de cuadro de control/refinación (petróleo y gas natural),2
1379,Operador de instalaciones de separación de  parafina/refinación de petróleo y gas natural,2
1380,Operadores de plantas de refinado de petróleo ,2
1381,Operador de destilería  de  refinación/petróleo ,2
1382,Controladores de procesos de producción de metales,2
1383,Encargado de control central de fundición,2
1384,Operador de control de procesamiento de metales,2
1385,Operador de cadena de montaje automatizada,2
1386,Operador de robot industrial,2
1387,Técnico de robots,2
1388,Verificador de robots,2
1389,Asistente de bacteriología,2
1390,Asistente de microbiología,2
1391,Asistente de microbiología asistencial,2
1392,Asistente  recolector de muestras clínicas,2
1393,Auxiliar de microbiología asistencial,2
1394,Disecador taxidermista,2
1395,Taxidermista,2
1396,Técnico en bacteriología,2
1397,Técnico de biología,2
1398,Técnico de botánica,2
1399,Técnico de conservación / medio ambiente,2
1400,Técnico de ecología,2
1401,Técnico de hematología,2
1402,Técnico de microbiología,2
1403,Técnico de serología,2
1404,Técnico de zoología,2
1405,Asistente de entomología,2
1406,Técnico de anatomía,2
1407,Técnico de biofísica,2
1408,Técnico en bioquímica,2
1409,Técnico en farmacología,2
1410,Técnico de fisiología,2
1411,Técnico de genética,2
1412,Técnico en cultivo de tejidos,2
1413,Asistente de laboratorio / biológico,2
1414,Técnico de entomología,2
1415,Asistente de agronomía,2
1416,Asistente de fitopatología,2
1417,Chequeador de ganado y cultivos,2
1418,Perito agrícola,2
1419,Técnico agrónomo / suelos,2
1420,Técnico ciencias agronómicas,2
1421,Técnico en agronomía,2
1422,Técnico de apicultura,2
1423,Técnico de arboricultura,2
1424,Técnico de cuarentena agropecuaria,2
1425,Técnico de fitotecnia,2
1426,Técnico de floricultura,2
1427,Técnico de fruticultura,2
1428,Técnico de horticultura,2
1429,Técnico de investigaciones / cosechas,2
1430,Técnico de oleicultura,2
1431,Técnico de sistemas / pesca,2
1432,Técnico en zootecnia,2
1433,Técnico agropecuario,2
1434,Técnico en piscicultura,2
1435,Técnico en cultivo de especies marinas.,2
1436,Técnico en ingeniería forestal,2
1437,Técnico en silvicultura,2
1438,Técnico forestal,2
1439,Inspector técnico de marina  mercante,2
1440,Oficiales de máquinas,2
1441,Inspectores marítimos de máquinas,2
1442,Perito naval Máquinas,2
1443,Capitán de barco,2
1444,Capitán de puerto,2
1445,Capitán de remolcador,2
1446,Capitán de yate,2
1447,Comandante de barco / navegación interior,2
1448,Oficial de cubierta,2
1449,Práctico de puerto marítimo,2
1450,Perito naval cubierta,2
1451,Inspector marítimos de cubierta,2
1452,Pesquero náutico,2
1453,Patrón de embarcación,2
1454,Patrón de remolcador,2
1455,Capitán de altura,2
1456,Capitán de marina,2
1457,Oficial de cubierta,2
1458,Piloto naval,2
1459,Práctico marítimo,2
1460,Asistente de vuelo,2
1461,Capitán de avión,2
1462,Comandante de aeronave,2
1463,Comandante de avión,2
1464,Copiloto de aeronave,2
1465,Oficial mecánico de vuelo,2
1466,Oficial navegante de aeronave,2
1467,Piloto de aerodeslizador,2
1468,Piloto de aeronave,2
1469,Piloto de aviación (excepto transporte aéreo),2
1470,Piloto de avión fumigador,2
1471,Piloto de helicóptero,2
1472,Piloto de hidroavión,2
1473,Piloto de pruebas / aeronáutica,2
1474,Primer oficial de avión,2
1475,Instructor de pilotos,2
1476,Instructor de vuelo,2
1477,Piloto instructor,2
1478,Piloto de hidroplano,2
1479,Piloto de avión,2
1480,Piloto  fumigador,2
1481,Controlador de tráfico aéreo,2
1482,Técnico de seguridad de tráfico aéreo,2
1483,Técnico en seguridad aeronáutica,2
1484,Controlador administrativo de transporte marítimo,2
1485,Controlador de tráfico marítimo,2
1486,Asistente de audiometría,2
1487,Auxiliar de audiometría,2
1488,Operador de audiometría,2
1489,Técnico de audiometría,2
1490,Operador de electrocardiografía,2
1491,Operador de electroencefalografía,2
1492,Operador de radiografía,2
1493,Operador de rayos X,2
1494,Técnico de electrocardiograma,2
1495,Técnico de electroencefalografía,2
1496,Asistente de radiología,2
1497,Auxiliar de radiología,2
1498,Técnico de radiología,2
1499,Técnico de rayos láser,2
1500,Técnico en  medicina  nuclear,2
1501,Técnico de anestesiología,2
1502,Técnico  aplicador de  anestesia ,2
1503,Técnico anestesiólogo,2
1504,Asistente de laboratorio / académico,2
1505,Asistente de laboratorio / clínico,2
1506,Asistente de laboratorio / químico,2
1507,Técnico de bancos de sangre,2
1508,Asistente de citología,2
1509,Asistente de patología,2
1510,Auxiliar de citología,2
1511,Técnico de citología,2
1512,Técnico de histocitología,2
1513,Técnico de histología,2
1514,Técnico en patología,2
1515,Técnico de laboratorio médico,2
1516,Asistente farmacéutico,2
1517,Auxiliar de farmacia,2
1518,Técnico en farmacia,2
1519,Técnico farmacéutico ,2
1520,Mecánico de aparatos ortopédicos,2
1521,Mecánico de prótesis dentales,2
1522,Mecánico de prótesis ortopédicas,2
1523,Mecánico dental,2
1524,Mecánico dentista,2
1525,Operario de taller / óptica,2
1526,Protesista de ortopedia,2
1527,Técnico de prótesis,2
1528,Técnico en aparatos ortopédicos ,2
1529,Técnico de prótesis dentales,2
1530,Técnico en prótesis médicas,2
1531,Reparador de aparatos ortopédicos,2
1532,Reparador de prótesis dentales,2
1533,Auxiliar de enfermería,2
1534,Auxiliar de enfermería / anestesia,2
1535,Auxiliar de enfermería / clínica,2
1536,Auxiliar de enfermería / empresa,2
1537,Auxiliar de enfermería / escuela,2
1538,Auxiliar de enfermería / maternidad,2
1539,Auxiliar de enfermería / obstetricia,2
1540,Auxiliar de enfermería / ortopedia,2
1541,Auxiliar de enfermería / pediatría,2
1542,Auxiliar de enfermería / psiquiatría,2
1543,Auxiliar de enfermería / visitas a domicilio,2
1544,Obstetra de nivel medio,2
1545,Técnico en enfermería,2
1546,Herbolario,2
1547,Homeópata nivel medio,2
1548,Naturista técnico,2
1549,Técnico de homeopatía,2
1550,Asistente de veterinario,2
1551,Auxiliar de veterinaria,2
1552,Técnico en veterinaria,2
1553,Técnico veterinario de inseminación artificial,2
1554,Inseminador artificial,2
1555,Técnico  veterinario,2
1556,Auxiliar de dentista,2
1557,Higienista bucodental,2
1558,Higienista de profilaxia,2
1559,Técnico  en odontología,2
1560,Técnico dental,2
1561,Empleado de registro médico,2
1562,Técnico registrador médico,2
1563,Registrador de médico,2
1564,Técnico en registros médicos,2
1565,Técnico en documentación de salud,2
1566,Auxiliar de archivo médico,2
1567,Encargado de historiales médicos,2
1568,Técnico en registros estadísticos médicos,2
1569,Auxiliar de salud comunitaria,2
1570,Promotor de  salud comunitaria,2
1571,Trabajador de salud comunitaria,2
1572,Asistente de atención primaria EBAIS,2
1573,Visitador  domiciliario EBAIS,2
1574,Técnico de atención primaria,2
1575,Técnico de salud rural y comunitaria,2
1576,Técnico en oftalmología,2
1577,Técnico en lentes de contacto,2
1578,Asistente de  oftalmología,2
1579,Técnico en optometría,2
1580,Operador de escáner / óptica,2
1581,Óptico de anteojos,2
1582,Asistente de rehabilitación  ocupacional,2
1583,Electroterapeuta,2
1584,Ergoterapeuta,2
1585,Hidroterapeuta,2
1586,Kinesiterapeuta,2
1587,Masajista,2
1588,Quiropodista,2
1589,Técnico de ergoterapia,2
1590,Técnico en fisioterapia,2
1591,Técnico de gimnasia médica,2
1592,Técnico en rehabilitación física,2
1593,Técnico en rehabilitación ocupacional,2
1594,Técnico en terapia física,2
1595,Técnico en terapia ocupacional,2
1596,Técnico en ortopedia,2
1597,Asistente de rehabilitación física ocupacional,2
1598,Técnico en rehabilitación física ocupacional,2
1599,Técnico en terapia física ocupacional,2
1600,Asistente médico,2
1601,Auxiliar de ciencias médicas / morgue,2
1602,Dispensarista,2
1603,Técnico de atención integral,2
1604,Técnico de atención integral de infantes,2
1605,Técnico de ciencias médicas,2
1606,Técnico de gastroenterología,2
1607,Técnico en prevención y tratamiento de adicción a las drogas,2
1608,Asistente clínico,2
1609,Practicante médico,2
1610,Técnico en medicina,2
1611,Técnico de terapia respiratoria,2
1612,Inspector de salud,2
1613,Técnico de salud ocupacional,2
1614,Técnico de seguridad ocupacional,2
1615,Inspector de  seguridad ocupacional,2
1616,Inspector  sanitario,2
1617,Inspector de higiene alimentaria,2
1618,Inspector de seguridad ambiental,2
1619,Inspector de seguridad medioambiente,2
1620,Inspector de salud ambiental,2
1621,Asistente de saneamiento ambiental,2
1622,Auxiliar de saneamiento ambiental,2
1623,Técnico de saneamiento ambiental,2
1624,Supervisor/a en salud ocupacional,2
1625,Técnico higienista ambiental,2
1626,Técnico de emergencias médicas,2
1627,Ayudante de ambulancia,2
1628,Encargado ambulancia,2
1629,Paramédico emergencias,2
1630,Paramédico ambulancias,2
1631,Asistente de nutrición,2
1632,Auxiliar de nutrición,2
1633,Técnico de dietética,2
1634,Técnico en nutrición,2
1635,Asistente de rehabilitación / voz y lenguaje,2
1636,Bañero de tratamientos medicinales,2
1637,Osteópata práctico,2
1638,Técnico de orientación de ciegos,2
1639,Técnico de ortofonía,2
1640,Técnico de ortóptica,2
1641,Técnico de readaptación profesional,2
1642,Técnico de terapéutica de las dislexias,2
1643,Técnico de terapia voz y lenguaje,2
1644,Quiropráctico,2
1645,Terapeuta de lenguaje,2
1646,Terapeuta del habla,2
1647,Agente de bolsa,2
1648,Agente de cambio,2
1649,Asistente de agente de bolsa,2
1650,Corredor de bolsa,2
1651,Corredor de valores,2
1652,Distribuidor de moneda extranjera,2
1653,Vendedor de dólares,2
1654,Agente financiero,2
1655,Técnico en asesoría financiera,2
1656,Agente de préstamos ,2
1657,Agente de  crédito ,2
1658,Revisor de  documentos financieros,2
1659,Oficial de  préstamo,2
1660,Oficial de crédito,2
1661,Encargado de crédito y cobro,2
1662,Auxiliar de auditoría,2
1663,Auxiliar de contabilidad,2
1664,Auxiliar de contador,2
1665,Contador privado,2
1666,Encargado de tesorería,2
1667,Perito contable,2
1668,Técnico de análisis contable,2
1669,Técnico de auditoría,2
1670,Técnico en contabilidad,2
1671,Tenedor de libros,2
1672,Tesorero auxiliar,2
1673,Contador de empresa,2
1674,Asistente de actuariado,2
1675,Auxiliar de actuario,2
1676,Auxiliar de matemático,2
1677,Asistente de demografía,2
1678,Asistente de estadística,2
1679,Crítico de datos estadísticos,2
1680,Técnico de demografía,2
1681,Técnico en estadística,2
1682,Asistente de actuarial,2
1683,Inspector de siniestros / valoración de pérdidas,2
1684,Liquidador de reclamaciones / seguros,2
1685,Martillero de subastas públicas,2
1686,Perito valuador de  seguros,2
1687,Rematador,2
1688,Tasador,2
1689,Tasador de seguros,2
1690,Tasador de siniestros,2
1691,Técnico en tasación,2
1692,Verificador de solicitudes para  indemnización,2
1693,Técnico de administración de recursos humanos,2
1694,Técnico en recursos humanos,2
1695,Asistente de administración,2
1696,Asistente de análisis administrativo,2
1697,Asistente de dirección / centro educativo,2
1698,Asistente de dirección / enseñanza especial,2
1699,Asistente de dirección / escolar,2
1700,Asistente de dirección centro educativo,2
1701,Asistente de gerencia,2
1702,Asistente de mercado,2
1703,Auxiliar de administración,2
1704,Técnico en administración,2
1705,Técnico de administración / empresas agropecuarias,2
1706,Técnico de administración / generalista,2
1707,Técnico de administración / materiales,2
1708,Técnico de administración / pública,2
1709,Técnico en administración de empresas,2
1710,Técnico de análisis presupuestario,2
1711,Asistente de administración pública,2
1712,Técnico de administración pública,2
1713,Asistente de economía,2
1714,Auxiliar de economía,2
1715,Técnico en economía,2
1716,Técnico de economía agrícola,2
1717,Asistente de comercio exterior,2
1718,Técnico en comercio exterior,2
1719,Técnico en comercio internacional,2
1720,Agente de seguros,2
1721,Asegurador,2
1722,Asegurador marítimo,2
1723,Corredor de seguros,2
1724,Negociador de seguros,2
1725,Técnico de aseguramiento de bienes,2
1726,Agente de ventas,2
1727,Agente de ventas / boletos aéreos,2
1728,Agente de ventas / comercio,2
1729,Agente de ventas / industria manufacturera ,2
1730,Agente de ventas de productos comestibles,2
1731,Asesor de ventas,2
1732,Asistente de ventas,2
1733,Consejero de servicios post - venta,2
1734,Ejecutivo de ventas,2
1735,Promotor de ventas,2
1736,Representante comercial,2
1737,Vendedor de carros,2
1738,Vendedor de vehículos,2
1739,Asesor de ventas de productos gráficos,2
1740,Asistente de proveeduría,2
1741,Auxiliar de proveeduría y bodegas,2
1742,Proveedor,2
1743,Técnico de compras,2
1744,Agente de  proveeduría,2
1745,Encargado de suministros,2
1746,Agente de compras,2
1747,Agente de operaciones comerciales,2
1748,Consignatario,2
1749,Consignatario marítimo,2
1750,Intermediario comercial,2
1751,Aforador,2
1752,Agente marítimo,2
1753,Agente naviero,2
1754,Declarante de aduana,2
1755,Despachante de aduana,2
1756,Gestor de aduana,2
1757,Preparador documentos de aduana,2
1758,Recibidor de documentos de aduana,2
1759,Técnico de administración / aduanera,2
1760,Tramitador - abridor aduanal,2
1761,Aduanero,2
1762,Agente de aduana,2
1763,Agente de servicios de aduana,2
1764,Técnico de aduana,2
1765,Profesional técnico de aduanas,2
1766,Agente de despacho de aduana ,2
1767,Organizador de convenciones,2
1768,Organizador de eventos,2
1769,Organizador de fiestas,2
1770,Organizador de  bodas,2
1771,Organizador de catering service,2
1772,Promotor de eventos especiales,2
1773,Agente de oficina de colocación,2
1774,Colocador de empleos,2
1775,Contratista de mano de obra,2
1776,Agente de bolsa de empleo,2
1777,Agente de empleo ,2
1778,Agente de intermediación de  empleo ,2
1779,Agente de bienes raíces,2
1780,Agente inmobiliario,2
1781,Corredor de bienes raíces,2
1782,Vendedor de bienes raíces,2
1783,Vendedor de propiedades inmuebles,2
1784,Corredor de inmobiliario,2
1785,Agente de teatro,2
1786,Agente de venta de publicidad / espacios,2
1787,Agente deportivo,2
1788,Agente literario,2
1789,Agente musical,2
1790,Promotor de deportes,2
1791,Subastador ,2
1792,Agente de intérprete musical ,2
1793,Supervisor de secretaría,2
1794,Supervisor administrativo,2
1795,Supervisor de digitación,2
1796,Supervisor de codificación,2
1797,Supervisor de oficinistas,2
1798,Supervisor en call center,2
1799,Supervisor de cajeros,2
1800,Supervisor de empleados correo,2
1801,Secretario legal,2
1802,Relator de tribunales,2
1803,Secretario de embajada,2
1804,Secretario ejecutivo,2
1805,Secretario administrativo,2
1806,Asistente personal,2
1807,Asistente ejecutivo,2
1808,Secretario bilingüe,2
1809,Secretario ejecutivo bilingüe,2
1810,Secretaria administrativa,2
1811,Secretaria ejecutiva,2
1812,Secretario médico,2
1813,Auxiliar administrativo de consultorio médico,2
1814,Secretaria de salas de hospital,2
1815,Secretaria consultorio médico,2
1816,Inspector de inmigración,2
1817,Inspector de migración,2
1818,Inspector de pasaportes,2
1819,Inspector de policía de fronteras,2
1820,Oficial de migración,2
1821,Oficial de aduanas,2
1822,Inspector de aduana,2
1823,Inspector de frontera,2
1824,Agente fiscal,2
1825,Agente fiscal / aranceles,2
1826,Agente fiscal / imposición,2
1827,Funcionario de fisco / aduanas,2
1828,Inspector de hacienda,2
1829,Recaudador de impuestos,2
1830,Técnico de control fiscal / precios,2
1831,Técnico tributario de recaudación de impuestos,2
1832,Inspector municipal,2
1833,Inspector fiscal,2
1834,Técnico de control fiscal ,2
1835,Encargado impuestos,2
1836,Inspector municipal de patentes,2
1837,Inspector de pensiones,2
1838,Inspector de seguridad social,2
1839,Inspector de seguro / CCSS,2
1840,Inspector de trabajo,2
1841,Inspector laboral,2
1842,Inspector de salarios,2
1843,Inspector de salarios CCSS,2
1844,Inspector de pensiones (jubilaciones),2
1845,Funcionario de expedición de cédulas,2
1846,Funcionario de expedición de licencias de exportación,2
1847,Funcionario de expedición de licencias de importación,2
1848,Funcionario de expedición de licencias,2
1849,Funcionario de expedición de pasaportes,2
1850,Funcionario de permisos de construcción,2
1851,Funcionario de expedición de permisos,2
1852,Funcionario de permisos de transportes,2
1853,Oficial de solicitud de cédulas,2
1854,Oficial de expedición de licencias,2
1855,Oficial de expedición de pasaportes,2
1856,Oficial de expedición de permisos ,2
1857,Inspector para licencias de conducir,2
1858,Encargado de expedición de pasaportes,2
1859,Agente de investigación  policial,2
1860,Asistente de investigación criminológica,2
1861,Detective,2
1862,Detective privado,2
1863,Encargado de unidad de investigación criminal,2
1864,Especialista de criminología,2
1865,Funcionario de policía / investigaciones,2
1866,Inspector de investigación,2
1867,Inspector de policía,2
1868,Investigador de actos delictivos,2
1869,Investigador de hechos de tránsito,2
1870,Oficial de investigación delictiva,2
1871,Suboficial de investigación,2
1872,Técnico de investigaciones / delictivas,2
1873,Técnico criminalístico,2
1874,Técnico de balística,2
1875,Técnico en criminología,2
1876,Técnico de elaboración de retratos hablados,2
1877,Técnico de dactiloscopía,2
1878,Inspector de canales de agua,2
1879,Inspector de control de precios,2
1880,Inspector de listas electorales,2
1881,Inspector de pesas y medidas,2
1882,Técnico de control de  precios,2
1883,Inspector de precios,2
1884,Inspector de aguas,2
1885,Inspector de pesca,2
1886,Inspector de silvicultura,2
1887,Asistente administrativo / legal,2
1888,Asistente de abogacía,2
1889,Asistente jurídico,2
1890,Asistente legal,2
1891,Auxiliar de abogacía,2
1892,Auxiliar de bufete / abogado,2
1893,Auxiliar de escribanía / transferencia de bienes raíces,2
1894,Auxiliar judicial,2
1895,Certificador de documentos públicos,2
1896,Escribiente de oficina judicial,2
1897,Notificador  legal,2
1898,Oficial de sala de tribunales,2
1899,Prosecretario de inspección judicial,2
1900,Prosecretario de oficina judicial,2
1901,Prosecretario de organismo judicial,2
1902,Prosecretario de sala tribunal superior,2
1903,Prosecretario de sala y tribunal superior,2
1904,Prosecretario judicial,2
1905,Registrador de garantías / banco,2
1906,Técnico en derecho,2
1907,Técnico de derecho internacional,2
1908,Técnico de jurista internacional,2
1909,Técnico de registro de documentos públicos,2
1910,Inspector de cobro judicial,2
1911,Investigador de deudas / banco,2
1912,Notificador judicial,2
1913,Asistente de trabajo social,2
1914,Asistente social de nivel medio,2
1915,Técnico en trabajo social,2
1916,Trabajador social de nivel medio,2
1917,Visitador social de nivel medio,2
1918,Asistente de teología,2
1919,Diácono,2
1920,Evangelizador,2
1921,Fraile,2
1922,Predicador seglar,2
1923,Misionero,2
1924,Monja,2
1925,Monje,2
1926,Pastor protestante,2
1927,Consejero espiritual,2
1928,Atleta,2
1929,Automovilista de carreras,2
1930,Banderillero,2
1931,Boxeador,2
1932,Corredor ciclista,2
1933,Corredor de carreras pedestres,2
1934,Corredor de pista y campo,2
1935,Futbolista,2
1936,Jockey,2
1937,Luchador,2
1938,Piloto de carreras / automóviles,2
1939,Torero,2
1940,Jugador de  baloncesto,2
1941,Tenista ,2
1942,Golfista,2
1943,Deportista,2
1944,Ciclista,2
1945,Nadador,2
1946,Entrenador deportivo de categoría A,2
1947,Entrenador deportivo de deportistas profesionales,2
1948,Entrenador de artes marciales,2
1949,Entrenador de atletismo,2
1950,Entrenador de boxeo,2
1951,Entrenador de golf,2
1952,Entrenador de hockey,2
1953,Entrenador de lucha,2
1954,Entrenador de natación,2
1955,Instructor de clases individuales / deportes,2
1956,Juez de cancha,2
1957,Juez de salida / carreras,2
1958,Juez deportivo,2
1959,Arbitro deportivo,2
1960,Entrenador de fútbol,2
1961,Instructor en deportes,2
1962,Instructor de natación,2
1963,Profesor de clases individuales / deportes,2
1964,Asistente de educación física,2
1965,Entrenador de educación física,2
1966,Entrenador de yoga,2
1967,Profesor de ajedrez,2
1968,Profesor de billar,2
1969,Instructor de aeróbicos,2
1970,Instructor de bailes populares,2
1971,Instructor de navegación / vela,2
1972,Instructor de gimnasio,2
1973,Instructor de buceo,2
1974,Instructor de buceo subacuático,2
1975,Instructor en gimnasio,2
1976,Instructor de acondicionamiento físico,2
1977,Instructor de montar a  caballo,2
1978,Instructor de surf,2
1979,Profesor de aeróbicos ,2
1980,Instructor de pilates,2
1981,Instructor de spinning,2
1982,Instructor de pesas,2
1983,Fotógrafo,2
1984,Fotógrafo aéreo,2
1985,Fotógrafo científico,2
1986,Fotógrafo comercial,2
1987,Fotógrafo criminalista,2
1988,Fotógrafo de  arquitectura,2
1989,Fotógrafo de ilustración comercial,2
1990,Fotógrafo de microfotografía,2
1991,Fotógrafo de modas,2
1992,Fotógrafo de policía,2
1993,Fotógrafo de prensa,2
1994,Fotógrafo de  industrial,2
1995,Fotógrafo de médico,2
1996,Fotógrafo de publicitario,2
1997,Fotógrafo de retratista,2
1998,Decorador de áreas / eventos especiales,2
1999,Decorador de escaparates,2
2000,Decorador de exposiciones,2
2001,Decorador de interiores,2
2002,Decorador de sala de recepciones,2
2003,Decorador de vitrinas,2
2004,Decorador de  proyectista de teatro,2
2005,Diseñador de decoración de interiores,2
2006,Diseñador de exposiciones,2
2007,Diseñador  de vitrinas,2
2008,Diseñador  de decorador,2
2009,Diseñador de decorador / escenarios de teatro,2
2010,Diseñador de escaparatista,2
2011,Escaparatista decorador,2
2012,Tramoyista,2
2013,Diseñador de escenografías,2
2014,Diseñador de interiores,2
2015,Diseñador flexográfico,2
2016,Técnico en diseñador gráfico,2
2017,Operador de programas de diseño gráfico,2
2018,Asistente conservador / galerías de arte,2
2019,Asistente conservador / museos,2
2020,Encargado  de archivo ,2
2021,Técnico en archivo administrativo,2
2022,Técnico en museología,2
2023,Técnico en bibliotecología,2
2024,Técnico bibliotecario,2
2025,Técnico de galería de arte,2
2026,Chef,2
2027,Chef Ejecutivo,2
2028,Jefe  cocina,2
2029,Chef jefe,2
2030,Pintor de tatuajes,2
2031,Acróbata,2
2032,Artista de circo,2
2033,Artista de marionetas,2
2034,Artista de trapecio,2
2035,Caballista de circo,2
2036,Cómico de circo,2
2037,Contorsionista,2
2038,Domador de circo,2
2039,Domador de fieras,2
2040,Encantador de serpientes,2
2041,Equilibrista,2
2042,Hipnotizador,2
2043,Humorista,2
2044,Ilusionista,2
2045,Imitador,2
2046,Imitador de personajes,2
2047,Imitador de ruidos de animales,2
2048,Mago,2
2049,Malabarista,2
2050,Payaso,2
2051,Pinta caritas,2
2052,Prestidigitador,2
2053,Titiritero,2
2054,Trapecista,2
2055,Ventrílocuo,2
2056,Volatinero,2
2057,Cantante a domicilio,2
2058,Músico ambulante,2
2059,Instructor de clases individuales / artesanías,2
2060,Instructor en bellas artes,2
2061,Artista de arte corporal,2
2062,Dibujante de ilustraciones,2
2063,Animador de eventos,2
2064,Operador de equipos informáticos / unidades,2
2065,Operador de equipos informáticos / unidades periféricas,2
2066,Técnico de operación de cómputo,2
2067,Técnico de análisis informático,2
2068,Técnico de control de equipos informáticos,2
2069,Técnico de control informático,2
2070,Técnico de servicios informáticos para usuarios,2
2071,Asistente de labores de mantenimiento / sala microcomputadoras,2
2072,Técnico de programación,2
2073,Técnico de programación / microcomputadoras,2
2074,Técnico de programación de informática,2
2075,Técnico de programación informática / comunicaciones,2
2076,Asistente de informática,2
2077,Asistente de ingeniería en computación,2
2078,Técnicos de informática empresarial ,2
2079,Instalador de computadoras,2
2080,Técnico en  redes de computadoras,2
2081,Técnico en sistemas de computadoras / redes,2
2082,Técnico de soporte de redes,2
2083,Técnico de red de computadoras,2
2084,Técnico en web,2
2085,Técnico de páginas web,2
2086,Técnico administrador web,2
2087,Técnico administrador de páginas web,2
2088,Técnico administrador de sitios web,2
2089,Técnico en sitios web ,2
2090,Técnico diseño de páginas web,2
2091,Operador de programas de diseño web,2
2092,Técnico en desarrollo de aplicaciones multimedia,2
2093,Técnico  en programación de aplicaciones multimedia,2
2094,Microfilmador,2
2095,Musicalizador en radioemisoras,2
2096,Operador de cabina de radioemisora,2
2097,Operador de equipo audio / radio,2
2098,Operador de equipo audio / televisión,2
2099,Operador de equipo de sonorización de cine,2
2100,Operador de equipos de radio y televisión,2
2101,Operador de grabación de sonido,2
2102,Técnico de edición cinematográfica,2
2103,Técnico de efectos sonoros / cine,2
2104,Técnico de efectos sonoros obras escénicas,2
2105,Técnico de equipo de sonorización / radio,2
2106,Técnico de equipo de sonorización / televisión,2
2107,Técnico de equipos de grabación,2
2108,Técnico de equipos de radio y televisión,2
2109,Técnico de fotogrametría,2
2110,Técnico de material de doblaje,2
2111,Técnico de microfilmador,2
2112,Técnico de microfilmador / documentos,2
2113,Técnico en producción audiovisual,2
2114,Técnico en producción cinematográfica,2
2115,Técnico de pruebas de sonido,2
2116,Técnico de recursos audiovisuales,2
2117,Técnico en grabación y sonido de televisión,2
2118,Trabajador especializado de edición cinematográfica,2
2119,Encargado de generador de caracteres y similares de televisión,2
2120,Luminotécnico de televisión,2
2121,Operador de cabina de proyección / cinematografía,2
2122,Operador de equipo de amplificación de sonido,2
2123,Operador de equipo de difusión / telefilmes,2
2124,Operador de equipo de difusión / televisión,2
2125,Operador de equipo de difusión / vídeo,2
2126,Operador de equipo de radiodifusión,2
2127,Operador de equipo televisión,2
2128,Operador de equipos de radiotelefonía / estaciones terrestres,2
2129,Operador de equipos móviles de radiodifusión y televisión,2
2130,Operador de estación emisora de radio,2
2131,Operador de estación emisora de televisión,2
2132,Operador de estudios de radio,2
2133,Operador de estudios de televisión,2
2134,Operador de micrófonos,2
2135,Operador de radio / navegación aérea,2
2136,Operador de radio / navegación marítima,2
2137,Radionavegante,2
2138,Radiotelegrafista,2
2139,Radiotelegrafista de navegación marítima,2
2140,Técnico de operación de radio,2
2141,Técnico de sala de control / radio,2
2142,Técnico de sala de control / televisión,2
2143,Telegrafista,2
2144,Técnico de audiovisuales,2
2145,Camarógrafo,2
2146,Asistente de producción de cine,2
2147,Disc jockey,2
2148,Dj,2
2149,Operador de discomóvil,2
2150,Deejay,2
2151,Auxiliar de camarógrafo,2
2152,Técnico asistente / conmutación digital,2
2153,Técnico de conmutación analógica,2
2154,Técnico de conmutación digital,2
2155,Técnico de planta externa / telefonía,2
2156,Técnico en telecomunicaciones,2
2157,Técnico en ingeniería en telecomunicaciones,2
2158,Asistente de catedrático universitario,2
2159,Asistente de docencia / universitario,2
2160,Asistente profesor de parauniversidad,2
2161,Asistente profesor de universidad,2
2162,Asistente de maestro de enseñanza primaria,2
2163,Asistente de enseñanza preescolar,2
