CodProfesionUOficio,Descripción,"Estado (1-Inactivo, 2- Activo)"
196,Director de servicios de salud,2
197,Administrador de hospital,2
198,Administrador de clínica,2
199,Administrador de laboratorio clínico,2
200,Director de clínica,2
201,Jefe de enfermería,2
202,Rector de área de salud,2
203,Director de área de salud,2
204,Jefe de servicios de salud de CCSS,2
205,Director hogar de ancianos ,2
206,Director centro diurno para adultos mayores ,2
207,Director hogar para adultos mayores,2
208,Gerente de  trabajo social,2
209,Gerente de  albergue / jóvenes,2
210,Director de albergue ,2
211,Director de centro social,2
212,Director de centro de rehabilitación ,2
213,Director de centro de bienestar social,2
214,Director de centro comunitario,2
215,Decano de universidad privada,2
216,Decano de universidad pública,2
217,Decano facultad de universidad privada,2
218,Decano facultad de universidad pública,2
219,Director de centro de educación privado,2
220,Director de centro de educación pública,2
221,Director de centro de educación público,2
222,Director de centro de enseñanza especial pública,2
223,Director de centro de enseñanza secundaria pública,2
224,Director de centro de enseñanza de general básica / pública,2
225,Director de centro de enseñanza preescolar pública,2
226,Director de departamento de producción y operaciones / enseñanza,2
227,Director de escuela primaria privada,2
228,Director de escuela primaria pública,2
229,Director de instituto técnico profesional público,2
230,Subdirector de centro de educación,2
231,Rector de universidad privada,2
232,Rector de universidad pública,2
233,Vicerrector,2
234,Rector de escuela superior privada,2
235,Director de colegio,2
236,Director de escuela,2
237,Director de Universidad,2
238,Rector,2
239,Director de instituto parauniversitario,2
240,Director de centro universitario,2
241,Subdirector de colegio,2
242,Decano,2
243,Decano de universidad ,2
244,Rector de universidad ,2
245,Director regional de enseñanza pública,2
246,Jefe de agencia bancaria ,2
247,Subjefe de agencia bancaria,2
248,Gerente de sucursal banco,2
249,Administrador de banco,2
250,Gerente de agencia de seguros,2
251,Gerente de sucursal financiera,2
252,Gerente de agencia crediticia,2
253,Gerente sucursal bancario,2
254,Gerente sucursal bancaria,2
255,Director de departamento de centro de documentación,2
256,Intendente de comisaría,2
257,Jefe de departamento de avalúos,2
258,Jefe de sección fotografía y audiovisuales,2
259,Redactor jefe de diarios,2
260,Redactor jefe de revistas,2
261,Director de centro de documentación,2
262,Director de escuela judicial,2
263,Jefe de departamento de defensores públicos,2
264,Jefe de departamento de investigaciones criminales,2
265,Subdirector de escuela judicial,2
266,Jefe de investigación criminológica,2
267,Jefe de sección cárceles,2
268,Jefe de sección investigación / tránsito,2
269,Jefe de sección investigación criminológica,2
270,Administrador de archivos,2
271,Administrador de  biblioteca,2
272,Director de cárcel,2
273,Administrador de museo,2
274,Administrador de galería de arte,2
275,Administrador de cárcel,2
276,Jefe policial,2
277,Director de penitenciaría ,2
