codSubclase,Descripción,"Estado (1-Inactivo, 2-Activo)"
012400009,Cultivo de nectarinas,2
012400010,Cultivo de peras,2
012400090,Cultivo de otras frutas de pepita y hueso no contemplado en otra actividad asociada,2
012499000,Cultivo mixto de frutas de pepita y de hueso,2
012500001,"Cultivo de bayas como arándanos, grosellas, grosellas espinosas, kiwis, fresas, frambuesas",2
012500002,Cultivo de semillas de frutas,2
012500003,"Cultivo de nueves comestibles como almendra, pistachos, avellanas, anacardos, castaña, macadamias y otro nueces",2
012599000,Cultivo de frutos y nueces de árboles y arbustos,2
012601000,Cultivo de palma africana (aceitera),2
012609001,Cultivo de aceitunas,2
012609002,Cultivo de coco,2
012609090,Cultivo de otros frutos oleaginosos no contemplado en otra actividad asociada (excepto el cultivo de coco y aceitunas),2
012699000,Cultivo mixto de frutos oleaginosos,2
012701001,Cultivo de café,2
012701002,Cultivo de café orgánico,2
012709001,Cultivo de cacao,2
012709002,Cultivo de mate,2
012709003,Cultivo de té,2
012709090,"Cultivo de otras plantas con las que se preparan bebidas, excepto el cultivo de café, cacao, mate y té no contemplado en otra actividad asociada",2
012799000,Cultivo mixto de plantas con las que se preparan bebidas,2
012800001,"Cultivo de especies y de plantas aromáticas, perennes y no perennes como: pimienta, chiles y pimientos, nuez moscada, cardamomos, anís, canela, clavo de olor, jengibre, vainilla etc.",2
012800002,Cultivo de plantas medicinales y narcóticas.,2
012800003,"Cultivo de plantas utilizadas principalmente en perfumería, en farmacia o para la preparación de insecticidas, fungicidas o productos similares.",2
012899000,"Cultivo de especies, plantas aromáticas, medicinales y farmacéuticas",2
012900001,Cultivo de árbol de caucho,2
012900002,Cultivo de árbol de navidad,2
012900003,Cultivo de árbol para extracción de savia,2
012900004,Cultivo de materiales vegetales de los tipos utilizados para trenzar,2
012900005,Cultivo de Palmito,2
012900090,Cultivo de otras plantas perennes no contemplado en otra actividad asociada,2
013000001,Producción de todo tipo de materiales vegetales para plantación,2
013000002,Cultivo de plantas para plantación.,2
013000003,"Cultivo o propagación de plantas con fines ornamentales como: cultivo de caña india, palmeras, cactus, bambúes, dracena, incluido césped para trasplante",2
013000004,"Cultivo o propagación de plantas vivas para utilizar sus bulbos, tubérculos y raíces; esquejes e injertos; blanco de setas, explotación de viveros, excepto viveros forestales.",2
013099000,Propagación de plantas,2
014101000,Cría y reproducción de ganado bovino para carne,2
014102000,Cría de ganado vacuno para producción de leche cruda,2
014109001,Cría de búfalos,2
014109002,Producción de semen bovino,2
014188000,Cría de ganado Bovino (vacuno) para carne y producción de leche cruda,2
014199000,Cría mixta de ganado Bovino (vacuno) y búfalos,2
014200001,"Cría y reproducción de caballos (incluidos caballos de carreras y de paso), burros y mulos",2
014200090,Cría y reproducción de otros equinos no contemplado en otra actividad asociada,2
014300000,"Cría y reproducción de camellos, dromedarios y otros camélidos.",2
014400001,Cría y reproducción de ovejas y cabras,2
014400002,Producción de leche cruda de oveja y de cabra,2
014400003,Producción de lana cruda,2
014488000,Cría y reproducción de oveja y cabra; junto con la producción de su leche cruda,2
014500000,Cría y reproducción de cerdos (implica desarrollo y engorde),2
014601000,"Cría, reproducción y engorde de pollos para carne",2
014602000,"Actividades de granja, cría y reproducción de gallinas para la producción de huevos de gallina",2
014609001,Cría de chompipe,2
014609002,Cría de codorniz,2
014609003,Cría de gallina de guinea,2
014609004,Cría de gansos,2
014609005,Cría de pato,2
014609006,Cría de pavos,2
014609090,"Cría de otras aves de corral, excepto pollos no contemplado en otra actividad asociada",2
014688000,Cría de pollos para carne y actividades de granja para la producción de huevos de gallina,2
014699000,Cría de varias aves de corral,2
014900001,"Cría y reproducción de animales semidomesticados y otros animales vivos como avestruces, y otras aves (excepto aves de corral)",2
014900002,Cría de insectos,2
014900003,Cría de conejos y otros animales de pelo,2
014900004,"Producción de pieles finas, cueros de reptiles y plumas de aves como parte de la explotación ganadera.",2
014900005,"Explotación de criadero de gusanos (excluye la cría de gusanos marinos), de moluscos terrestres, de caracoles etc.",2
014900006,"Cría de gusanos de seda, producción de capullos del gusano de seda",2
014900007,Apicultura y producción de miel y cera de abeja,2
014900008,"Cría y reproducción de animales domésticos (excepto peces) tales como : perros, gatos, pájaros (periquitos entre otros), hámster y cría de otros animales no contemplados en las clases anteriores",2
014999000,Cría de otros animales,2
015000000,Cultivo de productos agrícolas en combinación con la cría de animales (explotación mixta),2
016101000,"Alquiler de maquinaria agrícola con chofer, como alquiler de chapulín, arados, cosechadoras etc., con chofer",2
016102000,"Servicio de riego agrícola y fumigación para la eliminación de plagas, en plantaciones extensas o no a cambio de retribución o por contrato",2
016109001,Servicio de acondicionamiento de terrenos a cambio de retribución o por contrato,2
016109002,Servicio de plantación o siembra de cultivos a cambio de retribución o por contrato,2
016109003,Servicio de tratamiento de cultivos a cambio de retribución o por contrato,2
016109004,Servicio de poda de árboles frutales y viñas a cambio de retribución o por contrato,2
016109005,"Servicio de trasplante de arroz, entresacado de productos a cambio de una retribución o por contrato",2
016109006,Servicio de recolección de cosechas a cambio de una retribución o por contrato,2
016199000,Actividades de apoyo a la agricultura,2
016201000,Servicios de inseminación artificial como parte de las actividades para mejora de la reproducción,2
016209001,Albergue y cuidado de animales de granja,2
016209002,Capadura de aves de corral,2
016209003,Limpieza de establos,2
016209004,Limpieza de gallinero,2
016209005,Limpieza de granjas,2
016209006,Pastoreo de animales por contrato,2
016209007,Servicios de arreo y pasturaje de ganado,2
016209008,Servicios de esquila de ovejas,2
016209009,Servicios de establo,2
016209010,Servicios de herraje,2
016209011,Servicios de inspección sanitaria,2
016209012,Servicios de oferta de semental,2
016209013,Servicios para mejoramiento en el crecimiento de animales,2
016209014,Servicio para el mejoramiento del rendimiento de animales,2
016299000,Otras actividades de apoyo a la ganadería,2
016301000,Beneficio de café,2
016309001,"Servicio de recorte, clasificación, desinfección, de la cosecha para su comercialización en los mercados",2
016309002,"Servicio de desmontado de algodón, por contrato, como parte de actividades post cosecha",2
016309003,"Preparación de hojas de tabaco, por contrato como parte de las actividades post cosecha",2
016309004,"Servicio de preparación de cacao en grano, por contrato, como parte de actividades post cosecha",2
016309005,"Servicio de encerado de frutas, por contrato, como parte de actividades post cosecha",2
016309006,"Servicio de secado al sol de frutas y hortalizas, etc. como parte de las actividades post cosecha",2
016309090,Otros servicios posteriores a la cosecha no contemplado en otra actividad asociada,2
016400001,Procesamiento de semillas para la propagación,2
016400002,"Secado, limpieza, clasificación y tratamiento de semillas hasta su comercialización",2
016400003,Tratamiento de semillas genéticamente modificadas.,2
016400090,Otro tratamiento (procesamiento) de semillas para la propagación no contemplado en otra actividad asociada,2
017000001,Captura de animal para mascota (en tierra),2
017000002,"Captura de animales para alimento, por sus pieles y cueros, para investigación o zoológicos.",2
017000003,Caza ordinaria y mediante trampa con fines comerciales (en tierra),2
017000004,Producción de pieles finas como resultado de actividades de caza ordinaria y mediante trampas,2
017000005,Producción de plumas de aves como resultado de actividades de caza ordinaria y mediante trampas,2
017000006,Producción de cueros de reptiles como resultado de actividades de caza ordinaria y mediante trampas,2
017099000,"Caza ordinaria, mediante trampas y actividades de servicio conexas",2
021000001,Aclareo de bosques plantados,2
021000002,Actividades forestales,2
021000003,Conservación de bosques,2
021000004,Conservación de bosques para producción de oxígeno,2
021000005,Conservación de zonas forestales,2
021000006,Plantación de aboles de melina,2
021000007,Plantación de árboles de pino,2
021000008,Plantación de árboles de pochote,2
021000009,Plantación de árboles de Roble,2
021000010,Plantación de árboles de teca,2
021000011,Plantación de bambú,2
021000012,Plantación de bosques,2
021000013,Reforestación de bosques naturales,2
021000014,Replante de bosques plantados,2
021000015,Siembra de árboles,2
021000016,Trasplante de bosques naturales,2
021000017,Vivero de plantación forestal,2
021099000,Silvicultura y otras actividades forestales,2
022000001,Producción de madera en rollos para industrias manufactureras que utilizan productos forestales,2
022000002,"Producción de madera en rollos para su utilización en bruto (vigas, estacas y postes)",2
022000003,Recolección y producción de leña en bosques,2
022000004,Producción de carbón vegetal en bosques (utilizando métodos tradicionales),2
022000005,"Extracción de troncos, astillas de madera o leña",2
022099000,Extracción de madera,2
023000001,Recolección de líquenes,2
023000002,Recolección de bálsamo,2
023000003,Recolección de bayas,2
023000004,Recolección de bellota en bosques,2
023000005,Recolección de castañas de indias en bosques,2
023000006,Recolección de caucho,2
023000007,Recolección de corcho,2
023000008,"Recolección de balata, chicle y otras gomas similares al caucho",2
023000009,Recolección de crin vegetal y marino,2
023000010,Recolección de esparto en bosques,2
023000011,Recolección de hierba marina,2
023000012,Recolección de hongos,2
023000013,Recolección de musgo en bosques,2
023000014,Recolección de nueces,2
023000015,Recolección de goma laca y resinas,2
023000016,Recolección de trufas,2
023099000,Recolección de productos forestales distintos a la madera,2
024000001,Servicio asesoramiento en gestión forestal,2
024000002,"Servicio implantes de montes forestales, por contrato",2
024000003,"Servicio ingeniería forestal, por contrato",2
024000004,Servicio lucha y protección de incendios forestales,2
024000005,Servicio de explotación forestal,2
024000006,"Servicios de control de plagas forestales,",2
024000007,Servicios de evaluación de impacto ambiental,2
024000008,Servicios de evaluación maderera,2
024000009,Servicios de Inventario de existencias maderables por contrato,2
024000010,Servicios forestales por contrato,2
024000011,Servicio de transporte de troncos dentro del bosque,2
024099000,Servicios de apoyo a la silvicultura,2
031100001,Captura de langostas,2
031100002,Captura de peces ornamentales,2
031100003,Captura de pianguas,2
031100004,Captura de pulpos,2
031100005,Pesca artesanal cambute,2
031100006,Pesca comercial de altura y costera,2
031100007,Pesca de atún,2
031100008,Extracción de crustáceos y moluscos marinos,2
031100009,Extracción de ascidias,2
031100010,Extracción de erizos de mar,2
031100011,Pesca marítima artesanal,2
031100012,Pesca marítima de camarones,2
031100013,Pesca marítima en lanchas,2
031100014,Pesca marítima en embarcaciones camaroneras,2
031100015,Pesca marítima en embarcaciones industriales,2
031100016,Pesca marítima en embarcaciones artesanales de escala avanzada,2
031100017,Pesca marítima en embarcaciones artesanales de mediana escala,2
031100018,Pesca marítima en embarcaciones artesanales en pequeña escala,2
031100019,Pesca marítima en embarcaciones manuales,2
031100020,Recolección de perlas naturales,2
031100021,Recolección de esponjas naturales,2
031100022,Recolección de corales,2
031100023,Recolección de algas marinas,2
031100024,Servicios de apoyo a la pesca marítima,2
031199000,Pesca marítima,2
031200001,Pesca comercial de agua dulce,2
031200002,Pesca de camarones en agua dulce,2
031200003,Pesca de langostinos en agua dulce,2
031200004,Pesca de crustáceos en agua dulce distintos de camarones y langostinos,2
031200005,Pesca de moluscos en agua dulce,2
031200006,Recolección de materiales de agua dulce,2
031200007,Pesca artesanal de agua dulce,2
031200008,Servicios de apoyo a la pesca de agua dulce,2
031200090,"Captura, extracción y recolección de otros organismos acuáticos de agua dulce no contemplado en otra actividad asociada",2
031299000,Pesca de agua dulce,2
032100001,Acuicultura marítima de peces no ornamentales,2
032100002,Acuicultura marítima de peces ornamentales,2
032100003,Cultivo en el mar de cría de alevines y jaramugos,2
032100004,Acuicultura marítima de camarones,2
032100005,Criadero en el mar de anfibios,2
032100006,Cultivo en el mar de cría de langostas,2
032100007,Cultivo en el mar de otros crustáceos diferentes de langostas y camarones,2
032100008,Cultivo en el mar de cría de mejillones,2
032100009,Cultivo en el mar de cría de ostras,2
032100010,Cultivo en el mar de otros bivalvos diferentes de mejillones y ostras,2
032100011,Cultivo en el mar de moluscos,2
032100012,Cultivo en el mar de laver y otras algas comestibles,2
032100013,Piscicultura marina,2
032100014,Vivero de peces marinos,2
032100015,Explotación de criaderos de gusanos marinos,2
032100090,Acuicultura marina de otras especies no contemplado en otra actividad asociada,2
032199000,Acuicultura marina,2
032200001,Acuicultura de langostinos en agua dulce,2
032200002,Acuicultura de peces de agua dulce,2
032200003,Criadero de lagartos en agua dulce,2
032200004,Criadero de ranas,2
032200005,Criadero de tilapias (o semillero) en agua dulce,2
032200006,Criadero de truchas en agua dulce,2
032200007,Cultivo de bivalvos de agua dulce,2
032200008,Cultivo en agua dulce de moluscos,2
032200009,Cría de peces ornamentales de agua dulce,2
032200010,Piscicultura de agua dulce,2
032200011,Vivero de peces de agua dulce,2
032200090,Criadero en agua dulce de otras especies acuáticas no contemplado en otra actividad asociada,2
032299000,Acuicultura de agua dulce,2
051000001,Extracción de carbón de piedra en minas subterráneas o a cielo abierto,2
051000002,"Extracción de antracita, en mina subterránea o cielo abierto",2
051000003,"Extracción de hulla, en mina subterránea o cielo abierto",2
051000004,"Limpieza, cribado, clasificación, pulverización, compresión, etcétera, del carbón de piedra para clasificarlo, mejorar su calidad o facilitar su transporte o almacenamiento.",2
051000005,Recuperación del carbón de piedra de escombreras,2
051099000,Extracción de carbón de piedra,2
052000001,Extracción de Lignito en minas subterráneas o a cielo abierto incluida la extracción por licuefacción,2
052000002,"Limpieza, deshidratación, pulverización, compresión, etc. del lignito para mejorar su calidad o facilitar su transporte o almacenamiento",2
061000001,Extracción de aceites crudos de petróleo,2
061000002,Extracción de esquistos bituminosos y arenas alquitranadas,2
061000003,Producción de petróleo crudo de esquistos y arenas bituminosos,2
061000004,Decantación desalinización deshidratación y estabilización del petróleo,2
061099000,Extracción de petróleo crudo,2
062000001,Producción de hidrocarburos crudos en estado gaseoso (gas natural),2
062000002,"Extracción de condensados, drenaje y separación de las fracciones liquidas del gas natural",2
062000003,Desulfuración de gas,2
062000004,"Extracción de hidrocarburos líquidos, obtenidos por licuefacción o pirólisis",2
062099000,Extracción de gas natural,2
071000001,Extracción de mineral de hierro,2
071000002,Beneficio y aglomeración de minerales de hierro,2
071000090,Otro tipo de extracción de minerales de hierro no contemplado en otra actividad asociada,2
072100001,Extracción de minerales de uranio y torio,2
072100002,Producción de concentrado de uranio,2
072100090,Otro tipo de extracción de minerales metalíferos no ferrosos no contemplado en otra actividad asociada,2
072900001,Extracción en mina de aluminio,2
072900002,Extracción en mina de cobalto,2
072900003,Extracción en mina de cobre,2
072900004,Extracción en mina de cromo,2
072900005,Extracción en mina de estaño,2
072900006,Extracción en mina de oro,2
072900007,Extracción en mina de manganeso,2
072900008,Extracción y preparación en minade molibdeno,2
072900009,Extracción en mina de níquel,2
072900010,Extracción en mina de plata,2
072900011,Extracción en mina de platino,2
072900012,Extracción en mina de plomo,2
072900013,Extracción y preparación en mina de tántalo,2
072900014,Extracción y preparación en mina de vanadio,2
072900015,Extracción en mina de zinc,2
072999000,Extracción de otros minerales metalíferos no ferrosos,2
081000001,"Extracción, talla sin labrar y aserrado de piedra de construcción como mármol, granito y arenisca etc.",2
081000002,"Extracción, trituración y fragmentación de piedra caliza",2
081000003,Extracción de yeso y de anhidrita,2
081000004,Extracción de creta y de dolomita sin calcinar,2
081000005,Extracción y dragado de arenas para la industria,2
081000006,Extracción y dragado de arenas para construcción y grava,2
081000007,"Fragmentación y trituración de piedra, gravilla y arena",2
081000008,Extracción de arena,2
081000009,"Extracción de arcillas, arcillas refractarias y caolín",2
081099000,"Extracción de piedra, arena y arcilla",2
089100001,Extracción de fosfatos naturales y sales de potasio naturales,2
089100002,Extracción de azufre natural,2
089100003,"Extracción y preparación de pirita y pirrotina, excepto calcinadas",2
089100004,Extracción de sulfato de bario mineral y carbonato (baritina),2
089100005,Extracción de sulfato de magnesio natural,2
